time_pressure,accuracy,mean_rt
0.000000,0.920019,5.533921
0.200000,0.920019,5.180193
0.400000,0.920019,4.810990
0.600000,0.920019,4.426311
0.800000,0.920019,4.026157
1.000000,0.920019,3.610526
