time_pressure,accuracy,mean_rt
0.000000,0.500000,5.078131
0.200000,0.500000,4.932259
0.400000,0.500000,4.727788
0.600000,0.500000,4.495431
0.800000,0.500000,4.350675
1.000000,0.500000,4.275105
