domain,FullConsciousness,CfCOnly,NoFEP,NoSocial,ReducedWM,HDCOnly
Attention,0.635338,0.623389,0.626866,0.631538,0.625026,0.616330
Executive,0.822872,0.817456,0.819956,0.821206,0.818497,0.814331
Language,0.255356,0.255356,0.255356,0.255356,0.255356,0.255356
Memory,0.778992,0.769901,0.778992,0.778992,0.647951,0.647951
Metacognition,0.737445,0.732585,0.734090,0.735106,0.710868,0.714850
Motor,0.672602,0.672602,0.672602,0.672602,0.672602,0.672602
Reasoning,0.783681,0.781181,0.781181,0.782431,0.780931,0.779681
Social,0.956250,0.955903,0.956250,0.956076,0.956250,0.955729
