step,aux_mel_loss,mel_loss,batch_size,lr,val_loss
139,0.04338,0.15384,1,0.0006,
140,0.04237,1.04089,1,0.0006,
141,0.0422,0.1519,1,0.0006,
142,0.04048,0.33391,1,0.0006,
143,0.04692,0.38751,1,0.0006,
144,0.04821,0.14468,1,0.0006,
145,0.04353,0.15235,1,0.0006,
146,0.04311,0.15286,1,0.0006,
147,0.05203,0.33747,1,0.0006,
148,0.04836,0.19294,1,0.0006,
149,0.04546,0.2955,1,0.0006,
150,0.06342,0.77257,1,0.0006,
151,0.05433,0.15176,1,0.0006,
152,0.04671,1.18734,1,0.0006,
153,0.0542,0.19229,1,0.0006,
154,0.04849,0.19945,1,0.0006,
155,0.04517,0.15893,1,0.0006,
156,0.04883,0.29655,1,0.0006,
157,0.04647,0.1554,1,0.0006,
158,0.04883,0.93426,1,0.0006,
159,0.04316,0.24935,1,0.0006,
160,0.04106,0.14455,1,0.0006,
161,0.05516,0.15147,1,0.0006,
162,0.05555,0.13297,1,0.0006,
163,0.05437,0.17202,1,0.0006,
164,0.05633,0.34583,1,0.0006,
165,0.05371,0.1954,1,0.0006,
166,0.04849,0.19446,1,0.0006,
167,0.04584,0.14504,1,0.0006,
168,0.05048,0.4552,2,0.0006,
169,0.05392,0.17552,2,0.0006,
170,0.04964,0.21912,2,0.0006,
171,0.04742,0.49106,2,0.0006,
172,0.05536,0.48627,2,0.0006,
173,0.04792,0.11812,2,0.0006,
174,0.04828,0.71351,2,0.0006,
175,0.05247,0.31909,2,0.0006,
176,0.04939,0.14159,2,0.0006,
177,0.05036,0.18185,2,0.0006,
178,0.04796,0.3812,2,0.0006,
179,0.05517,0.30626,2,0.0006,
180,0.05228,0.13136,2,0.0006,
181,0.04786,0.2186,2,0.0006,
182,0.05244,0.13482,2,0.0006,
183,0.04278,0.13812,2,0.0006,
184,0.04934,0.1506,2,0.0006,
185,0.05554,0.23765,2,0.0006,
186,0.04812,0.11672,2,0.0006,
187,0.04433,0.147,2,0.0006,
188,0.04465,0.15842,2,0.0006,
189,0.04882,0.11758,2,0.0006,
190,0.04557,0.10985,2,0.0006,
191,0.04313,0.13916,2,0.0006,
192,0.04215,0.10965,2,0.0006,
193,0.04691,0.61494,2,0.0006,
194,0.04683,0.43334,2,0.0006,
195,0.04731,0.12729,2,0.0006,
196,0.04858,0.26242,2,0.0006,
197,0.04728,0.45398,2,0.0006,
198,0.05247,0.10939,2,0.0006,
199,0.04461,0.12413,2,0.0006,
200,0.04721,0.24136,2,0.0006,
201,0.04692,0.11092,2,0.0006,
202,0.04845,0.33334,2,0.0006,
203,0.04717,0.43644,2,0.0006,
204,0.04633,0.21617,2,0.0006,
205,0.05006,0.10752,2,0.0006,
206,0.04625,0.1639,2,0.0006,
207,0.04363,0.16842,2,0.0006,
208,0.04743,0.6221,2,0.0006,
209,0.05221,0.59055,2,0.0006,
210,0.04884,0.12394,2,0.0006,
211,0.04696,0.44879,2,0.0006,
212,0.04578,0.19462,2,0.0006,
213,0.04467,0.75568,2,0.0006,
214,0.04657,0.62567,2,0.0006,
215,0.04825,0.13822,2,0.0006,
216,0.04706,0.11747,2,0.0006,
217,0.04381,0.54552,2,0.0006,
218,0.041,0.17109,2,0.0006,
219,0.04382,0.2869,2,0.0006,
220,0.04667,0.17813,2,0.0006,
221,0.04524,0.12981,2,0.0006,
222,0.04341,0.10979,2,0.0006,
223,0.04495,0.19091,1,0.0006,
224,0.04308,1.08539,1,0.0006,
225,0.04612,0.11379,1,0.0006,
226,0.04495,0.29647,1,0.0006,
227,0.0432,0.12107,1,0.0006,
228,0.04776,0.75523,1,0.0006,
229,0.04937,0.11621,1,0.0006,
230,0.04374,0.84542,1,0.0006,
231,0.04548,0.11537,1,0.0006,
232,0.04408,0.10851,1,0.0006,
233,0.04706,0.10917,1,0.0006,
234,0.04202,0.10907,1,0.0006,
235,0.0434,0.09354,1,0.0006,
236,0.04668,0.10594,1,0.0006,
237,0.04492,0.10419,1,0.0006,
238,0.04277,0.23127,1,0.0006,
239,0.04904,0.19497,1,0.0006,
240,0.04768,0.12009,1,0.0006,
241,0.04251,0.24859,1,0.0006,
242,0.04326,0.12494,1,0.0006,
243,0.04856,0.64162,1,0.0006,
244,0.04088,0.11357,1,0.0006,
245,0.04537,0.12868,1,0.0006,
246,0.04209,0.28673,1,0.0006,
247,0.04406,0.91598,1,0.0006,
248,0.04451,1.01984,1,0.0006,
249,0.04418,0.3544,1,0.0006,
250,0.04732,0.13416,1,0.0006,
251,0.04396,0.13482,1,0.0006,
252,0.04008,0.12311,1,0.0006,
253,0.03968,1.01665,1,0.0006,
254,0.04265,0.16656,1,0.0006,
255,0.04271,0.93474,1,0.0006,
256,0.04786,0.23706,1,0.0006,
257,0.04076,0.32531,1,0.0006,
258,0.0401,0.34031,1,0.0006,
259,0.03907,0.1381,1,0.0006,
260,0.04481,0.25228,1,0.0006,
261,0.05326,0.16506,1,0.0006,
262,0.04387,1.02343,1,0.0006,
263,0.0407,0.20868,1,0.0006,
264,0.04535,0.12717,1,0.0006,
265,0.04552,0.57637,1,0.0006,
266,0.0463,0.24903,1,0.0006,
267,0.04471,0.17515,1,0.0006,
268,0.0443,0.14533,1,0.0006,
269,0.04255,0.46626,1,0.0006,
270,0.04062,0.21229,1,0.0006,
271,0.03952,0.82559,1,0.0006,
272,0.04534,0.13053,1,0.0006,
273,0.04247,0.1209,1,0.0006,
274,0.04814,0.12966,1,0.0006,
275,0.04102,0.12038,1,0.0006,
276,0.04034,0.11136,1,0.0006,
277,0.04229,0.13674,1,0.0006,
278,0.04091,0.13395,1,0.0006,
279,0.04831,0.62709,2,0.0006,
280,0.04556,0.15702,2,0.0006,
281,0.0404,0.55697,2,0.0006,
282,0.0476,0.17828,2,0.0006,
283,0.04316,0.12465,2,0.0006,
284,0.04079,0.32816,2,0.0006,
285,0.04467,0.18415,2,0.0006,
286,0.04353,0.2479,2,0.0006,
287,0.04216,0.23648,2,0.0006,
288,0.0437,0.30233,2,0.0006,
289,0.04385,0.16024,2,0.0006,
290,0.0441,0.13437,2,0.0006,
291,0.04243,0.24757,2,0.0006,
292,0.04055,0.11843,2,0.0006,
293,0.04164,0.39503,2,0.0006,
294,0.03895,0.14209,2,0.0006,
295,0.03931,0.10454,2,0.0006,
296,0.04586,0.11961,2,0.0006,
297,0.0457,0.09924,2,0.0006,
298,0.04257,0.22542,2,0.0006,
299,0.04028,0.12772,2,0.0006,
300,0.04067,0.2605,2,0.0006,
301,0.05743,0.09353,2,0.0006,
302,0.05328,0.10488,2,0.0006,
303,0.04143,0.10292,2,0.0006,
