chain,replica,cycle,plaquette,polyakov_re,polyakov_im,polyakov_abs,polyakov_sector,polyakov_aligned_re,wilson_t1
center0,0,32,0.5770285838166436,-0.20345875614213668,0.27750902751512285,0.34410278377731074,1,0.3420592456786795,0.5655385529190325
center0,0,34,0.5589994883733588,0.20224863633017393,0.05853617075541334,0.21054926783088526,0,0.20224863633017393,0.5672829224361237
center0,0,36,0.5496280404940594,0.5571277550066744,-0.04492801718729547,0.5589363667960414,0,0.5571277550066744,0.547411666635547
center0,0,38,0.6408186156852903,0.3242496768011157,0.03979237965470654,0.3266822406930201,0,0.3242496768011157,0.636764395315062
center0,0,40,0.6476938202105842,-0.04494307539082244,0.24528513336439847,0.2493685559070668,1,0.2348946943596343,0.6307035268020126
center0,0,42,0.6162124938533916,-0.2018345131461309,0.46034739232609717,0.5026498705046817,1,0.4995897928933871,0.6310601898542969
center0,0,44,0.5611634059109609,-0.1301255898177286,0.35827503630777424,0.3811740688540456,1,0.37533807789318885,0.5631441148642926
center0,0,46,0.5503096085754502,-0.19210314754449745,-0.060881104539193834,0.2015195479014758,2,0.14877615691364665,0.5140467992078991
center0,0,48,0.5649940556112979,-0.036474505007564884,-0.030305123028586664,0.04742140863918584,2,0.0444822589113513,0.5669023973804549
center0,0,50,0.5896939801787221,0.35056149641931345,-0.004915710740546487,0.3505959597368929,0,0.35056149641931345,0.5770116034923022
center0,0,52,0.5442693192220518,0.3967073724423455,0.001407898638985999,0.3967098707225313,0,0.3967073724423455,0.5156773485490959
center0,0,54,0.5949236901189393,0.14160375598646285,-0.11265468646545308,0.1809494462332042,0,0.14160375598646285,0.586085362670513
center_plus,1,32,0.5760354127231738,-0.2446462690031063,0.347341314292382,0.4248503095815037,1,0.42312953646263085,0.5946843737843727
center_plus,1,34,0.5696301341218997,-0.08487986725890095,-0.1488030829072779,0.1713095133044247,2,0.1713071835885951,0.5725212224796478
center_plus,1,36,0.5596572182755908,0.2542794102823436,-0.10112069594805112,0.2736483393747432,0,0.2542794102823436,0.5668244964600916
center_plus,1,38,0.5813775143784544,0.5195515527134595,0.02974760771086214,0.5204024751012297,0,0.5195515527134595,0.6082482267658373
center_plus,1,40,0.6161962226378092,0.5383210934006093,-0.04217100028094019,0.5399703629503406,0,0.5383210934006093,0.5869641570439028
center_plus,1,42,0.6014697275508926,0.5043585067876131,0.0003157843483256092,0.5043586056456114,0,0.5043585067876131,0.610430435754863
center_plus,1,44,0.5472974616303904,0.4396744926393922,0.08433312307481854,0.4476893288043165,0,0.4396744926393922,0.5590619547863022
center_plus,1,46,0.5768500866234275,0.38897461994645116,-0.06468644243991235,0.39431661237895904,0,0.38897461994645116,0.5455463028768032
center_plus,1,48,0.5969916653910009,0.6029694413569409,-0.0034494031877765974,0.6029793077649126,0,0.6029694413569409,0.612411393662995
center_plus,1,50,0.5993875666772205,0.45019486454893987,-0.048026440915497945,0.45274932920242755,0,0.45019486454893987,0.6017586694358212
center_plus,1,52,0.5556957861573636,0.5897412703287879,-0.010725427239734337,0.589838792144504,0,0.5897412703287879,0.5491035645271536
center_plus,1,54,0.5993142673632611,0.2892526399092609,-0.12112158814909679,0.31358815157820613,0,0.2892526399092609,0.5583219669348326
center_minus,2,32,0.5840838409681535,-0.21783140491361638,-0.3948522210856418,0.45095320983767756,2,0.4508677566576835,0.558226657393008
center_minus,2,34,0.6185565794423468,-0.2881303141002718,-0.4614637959358677,0.5440293308848902,2,0.5437045272573955,0.6107638122776534
