variant,efe_mission,efe_intercept,chose_override,expected,matches
Default,12931.315107843466,156.56178733860554,1,INTERCEPT,1
CloseBeam,16331.195928778216,184.43747885712756,1,INTERCEPT,1
FarBeam,581.7480082716397,658.2231281012375,0,MISSION,1
ReversedGeometry,9931.42026584221,229.48154363028874,1,INTERCEPT,1
NoHuman,131.7637819714518,156.56178733860554,0,MISSION,1
LowDanger,181.76202933813937,262.19128014710657,0,MISSION,1
