variant,efe_mission,efe_intercept,chose_override,expected,matches,best_rv_frac
Default,12931.315107843466,4114.028898336558,1,INTERCEPT,1,0.25
CloseBeam,16331.195928778216,184.43747885712756,1,INTERCEPT,1,0.50
FarBeam,581.7480082716397,780.6758765997893,0,MISSION,1,0.75
ReversedGeometry,9931.42026584221,3627.6970741123,1,INTERCEPT,1,0.50
NoHuman,131.7637819714518,155.31728435763156,0,MISSION,1,0.75
LowDanger,181.76202933813937,292.38350219595,0,MISSION,1,0.75
