node_id,role,mode0_detected,mode1_detected,classification,quality_score,baseline_loss,updated_loss,loss_improvement,raw_quality,relative_improvement,gradient_norm,hybrid_component
0,honest,True,False,TN,0.5116344582465486,37.283714294433594,37.2711181640625,0.01259613037109375,0.5008446126297039,0.00033784537322705357,1.000000000000904,0.5368107646858531
1,honest,True,False,TN,0.505481933362427,37.283714294433594,37.27782440185547,0.005889892578125,0.5003949372711841,0.00015797494132724734,1.000000000000883,0.5173515909086602
2,honest,True,False,TN,0.5714896911307792,37.283714294433594,37.2062873840332,0.07742691040039062,0.5051915514153336,0.0020766951969683543,1.0000000000008498,0.7261853504668188
3,honest,True,False,TN,0.4455794053692961,37.283714294433594,37.34290313720703,-0.0591888427734375,0.4960312698960974,-0.001587525381887027,1.0000000000005684,0.3278583881400928
4,honest,True,False,TN,0.47907844208834527,37.283714294433594,37.30648422241211,-0.022769927978515625,0.4984732035395987,-0.0006107204823719815,1.0000000000008702,0.43382399870208743
5,honest,True,False,TN,0.47247741063863147,37.283714294433594,37.313575744628906,-0.0298614501953125,0.49799769878538386,-0.0008009247672990234,1.0000000000007916,0.41293007162954243
6,honest,True,False,TN,0.5581253181683525,37.283714294433594,37.220767974853516,0.06294631958007812,0.5042206648157852,0.0016883060277467024,1.0000000000008582,0.6839028426576763
7,honest,True,False,TN,0.5612102685381755,37.283714294433594,37.217445373535156,0.0662689208984375,0.5044434398202009,0.0017774227206845473,1.0000000000009006,0.6936662022134493
8,honest,True,False,TN,0.5301079032421053,37.283714294433594,37.25111389160156,0.03260040283203125,0.5021859540917815,0.0008743872076312538,1.0000000000008458,0.5952591179261943
9,honest,True,False,TN,0.5108034641219531,37.283714294433594,37.27202606201172,0.011688232421875,0.5007837351421753,0.00031349431361831984,1.0000000000009142,0.5341828317414345
10,honest,True,False,TN,0.5417400136547643,37.283714294433594,37.238548278808594,0.045166015625,0.5030284981080919,0.0012114140578462491,1.0000000000008216,0.6320668832636664
11,honest,True,False,TN,0.5262936136239377,37.283714294433594,37.25524139404297,0.028472900390625,0.5019091956467826,0.0007636819702503719,1.0000000000008642,0.583190588903966
12,honest,True,False,TN,0.5304759762286746,37.283714294433594,37.25071334838867,0.033000946044921875,0.5022128113584332,0.0008851303221645186,1.0000000000008331,0.5964233609259046
13,byzantine,True,False,FN,0.4284072637342048,37.283714294433594,37.36161422729492,-0.07789993286132812,0.4947767342583356,-0.002089382303655258,1.000000000000903,0.2735451658445663
14,byzantine,True,False,FN,0.5044999981227712,37.283714294433594,37.27889633178711,0.004817962646484375,0.5003230607563653,0.0001292243205287004,1.0000000000008367,0.5142461853110517
15,byzantine,True,False,FN,0.4575799232566589,37.283714294433594,37.3298225402832,-0.046108245849609375,0.49690832451349265,-0.0012366859558435484,1.0000000000008729,0.3658136536573803
16,byzantine,True,False,FN,0.46435783401717723,37.283714294433594,37.32246780395508,-0.038753509521484375,0.49740146862051293,-0.0010394219099375038,1.00000000000087,0.38725601994272724
17,byzantine,True,False,FN,0.4561186768757104,37.283714294433594,37.33142852783203,-0.0477142333984375,0.49680064184207195,-0.001279760729353115,1.0000000000008507,0.36119409195420027
18,byzantine,True,False,FN,0.4394790604117483,37.283714294433594,37.34951400756836,-0.06579971313476562,0.4955880196908647,-0.0017648379293741512,1.0000000000007705,0.3085581554271434
19,byzantine,True,False,FN,0.5228995990240133,37.283714294433594,37.258949279785156,0.0247650146484375,0.5016605724552995,0.0006642314242852913,1.0000000000008233,0.5724573276843454
