step,time,drone_x,drone_y,drone_z,beam_x,beam_y,beam_z,human_danger,mission_progress,free_energy,tau_factor,position_error
43,0.0860,-0.0000,0.0000,1.5093,2.0000,0.0000,3.9992,0.0000,0.3914,1.527436,1.0000,3.0429
44,0.0880,-0.0000,0.0000,1.5098,2.0000,0.0000,3.9991,0.0000,0.3914,1.527436,1.0000,3.0430
45,0.0900,-0.0000,0.0000,1.5102,2.0000,0.0000,3.9991,0.0000,0.3914,1.527436,1.0000,3.0431
46,0.0920,-0.0000,0.0000,1.5106,2.0000,0.0000,3.9991,0.0000,0.3914,1.527436,1.0000,3.0431
47,0.0940,-0.0000,0.0000,1.5111,2.0000,0.0000,3.9991,0.0000,0.3914,1.527436,1.0000,3.0432
48,0.0960,-0.0000,0.0000,1.5115,2.0000,0.0000,3.9991,0.0000,0.3913,1.527436,1.0000,3.0433
49,0.0980,-0.0000,0.0000,1.5120,2.0000,0.0000,3.9990,0.0000,0.3913,1.527436,1.0000,3.0433
50,0.1000,-0.0000,0.0000,1.5124,2.0000,0.0000,3.9990,0.0000,0.3913,1.527436,1.0000,3.0434
51,0.1020,-0.0000,0.0000,1.5129,2.0000,0.0000,3.9990,0.0000,0.3913,1.527436,1.0000,3.0435
52,0.1040,-0.0000,0.0000,1.5134,2.0000,0.0000,3.9990,0.0000,0.3913,1.527436,1.0000,3.0436
53,0.1060,-0.0000,0.0000,1.5139,2.0000,0.0000,3.9990,0.0000,0.3913,1.527436,1.0000,3.0437
54,0.1080,-0.0000,0.0000,1.5144,2.0000,0.0000,3.9989,0.0000,0.3913,1.527436,1.0000,3.0437
55,0.1100,-0.0000,0.0000,1.5149,2.0000,0.0000,3.9989,0.0000,0.3912,1.527436,1.0000,3.0438
56,0.1120,-0.0000,0.0000,1.5154,2.0000,0.0000,3.9989,0.0000,0.3912,1.527436,1.0000,3.0439
57,0.1140,-0.0000,0.0000,1.5159,2.0000,0.0000,3.9989,0.0000,0.3912,1.527436,1.0000,3.0440
58,0.1160,-0.0001,0.0000,1.5164,2.0000,0.0000,3.9989,0.0000,0.3912,1.527436,1.0000,3.0441
59,0.1180,-0.0001,0.0000,1.5170,2.0000,0.0000,3.9988,0.0000,0.3912,1.527436,1.0000,3.0442
60,0.1200,-0.0001,0.0000,1.5175,2.0000,0.0000,3.9988,0.0000,0.3912,1.527436,1.0000,3.0442
61,0.1220,-0.0001,0.0000,1.5180,2.0000,0.0000,3.9988,0.0000,0.3911,1.388662,1.0000,3.0443
62,0.1240,-0.0001,0.0000,1.5186,2.0000,0.0000,3.9988,0.0000,0.3911,1.388662,1.0000,3.0444
63,0.1260,-0.0001,0.0000,1.5191,2.0000,0.0000,3.9988,0.0000,0.3911,1.388662,1.0000,3.0445
64,0.1280,-0.0001,0.0000,1.5197,2.0000,0.0000,3.9987,0.0000,0.3911,1.388662,1.0000,3.0446
