time_pressure,accuracy,mean_rt
0.000000,0.500000,4.952561
0.200000,0.500000,4.898480
0.400000,0.500000,4.659794
0.600000,0.500000,4.356688
0.800000,0.500000,4.168507
1.000000,0.500000,4.096627
