time_pressure,accuracy,mean_rt
0.000000,0.853125,6.026556
0.200000,0.827500,6.034853
0.400000,0.799063,6.043149
0.600000,0.774688,6.051445
0.800000,0.756563,6.059742
1.000000,0.739688,6.068038
