time_pressure,accuracy,mean_rt
0.000000,0.537500,5.975833
0.200000,0.525000,5.497767
0.400000,0.510000,5.019700
0.600000,0.497500,4.541633
0.800000,0.495000,4.063567
1.000000,0.490000,3.585500
