val_batches,ref_lr,mad_multiplier,loss_fn,val_size,dispersion,winsorize,threshold_mode,ema_alpha,freeze_bn,relative_improvement,grad_clip,hybrid_lambda,seed,detection_rate,fpr,threshold,mean_detection,std_detection,mean_fpr,std_fpr,auroc,auprc,cohen_d,class_counts,aborted_by_rule
4,0.0001,3.0,mse_logits,1000,mad,0.05,robust,0.2,True,True,,0.7,42,0.0,0.07692307692307693,0.47495354089614256,0.0,0.0,0.07692307692307693,0.0,0.2637362637362637,0.27484039070173527,0.48699447666362683,"{""0"": 100, ""1"": 100, ""2"": 100, ""3"": 100, ""4"": 100, ""5"": 100, ""6"": 100, ""7"": 100, ""8"": 100, ""9"": 100}",True
4,0.0001,3.0,mse_logits,1000,mad,0.05,robust,0.2,True,True,1.0,,42,0.0,0.07692307692307693,0.49975564076583456,0.0,0.0,0.07692307692307693,0.0,0.31868131868131866,0.2947338744110084,0.42808054672638446,"{""0"": 100, ""1"": 100, ""2"": 100, ""3"": 100, ""4"": 100, ""5"": 100, ""6"": 100, ""7"": 100, ""8"": 100, ""9"": 100}",True
4,0.0001,3.0,mse_logits,1000,mad,0.05,robust,0.2,True,True,1.0,0.7,42,0.0,0.07692307692307693,0.47607408624451725,0.0,0.0,0.07692307692307693,0.0,0.31868131868131866,0.2947338744110084,0.42808054672638446,"{""0"": 100, ""1"": 100, ""2"": 100, ""3"": 100, ""4"": 100, ""5"": 100, ""6"": 100, ""7"": 100, ""8"": 100, ""9"": 100}",True
4,0.0001,3.0,mse_logits,1000,biweight,0.05,robust,0.2,True,True,,,42,0.0,0.07692307692307693,0.4977827039994321,0.0,0.0,0.07692307692307693,0.0,0.2637362637362637,0.27484039070173527,0.48699447666362683,"{""0"": 100, ""1"": 100, ""2"": 100, ""3"": 100, ""4"": 100, ""5"": 100, ""6"": 100, ""7"": 100, ""8"": 100, ""9"": 100}",True
4,0.0001,3.0,mse_logits,1000,biweight,0.05,robust,0.2,True,True,,0.7,42,0.0,0.07692307692307693,0.47360268231590824,0.0,0.0,0.07692307692307693,0.0,0.2637362637362637,0.27484039070173527,0.48699447666362683,"{""0"": 100, ""1"": 100, ""2"": 100, ""3"": 100, ""4"": 100, ""5"": 100, ""6"": 100, ""7"": 100, ""8"": 100, ""9"": 100}",True
4,0.0001,3.0,mse_logits,1000,biweight,0.05,robust,0.2,True,True,1.0,,42,0.0,0.07692307692307693,0.4997434683978668,0.0,0.0,0.07692307692307693,0.0,0.31868131868131866,0.2947338744110084,0.42808054672638446,"{""0"": 100, ""1"": 100, ""2"": 100, ""3"": 100, ""4"": 100, ""5"": 100, ""6"": 100, ""7"": 100, ""8"": 100, ""9"": 100}",True
4,0.0001,3.0,mse_logits,1000,biweight,0.05,robust,0.2,True,True,1.0,0.7,42,0.0,0.07692307692307693,0.47488626111742693,0.0,0.0,0.07692307692307693,0.0,0.31868131868131866,0.2947338744110084,0.42808054672638446,"{""0"": 100, ""1"": 100, ""2"": 100, ""3"": 100, ""4"": 100, ""5"": 100, ""6"": 100, ""7"": 100, ""8"": 100, ""9"": 100}",True
4,0.0001,3.0,mse_logits,2000,mad,0.05,robust,0.2,True,True,,,42,0.0,0.07692307692307693,0.4977543533345034,0.0,0.0,0.07692307692307693,0.0,0.41758241758241754,0.3267685064456405,0.22368660368791046,"{""0"": 200, ""1"": 200, ""2"": 200, ""3"": 200, ""4"": 200, ""5"": 200, ""6"": 200, ""7"": 200, ""8"": 200, ""9"": 200}",True
4,0.0001,3.0,mse_logits,2000,mad,0.05,robust,0.2,True,True,,0.7,42,0.0,0.07692307692307693,0.47445395550869945,0.0,0.0,0.07692307692307693,0.0,0.41758241758241754,0.3267685064456405,0.22368660368791046,"{""0"": 200, ""1"": 200, ""2"": 200, ""3"": 200, ""4"": 200, ""5"": 200, ""6"": 200, ""7"": 200, ""8"": 200, ""9"": 200}",True
4,0.0001,3.0,mse_logits,2000,mad,0.05,robust,0.2,True,True,1.0,,42,0.0,0.07692307692307693,0.4997165459095814,0.0,0.0,0.07692307692307693,0.0,0.43956043956043955,0.34777690980698495,0.16361084358209033,"{""0"": 200, ""1"": 200, ""2"": 200, ""3"": 200, ""4"": 200, ""5"": 200, ""6"": 200, ""7"": 200, ""8"": 200, ""9"": 200}",True
